Year,Event,Date,Detail,URL
2025,Donor Darah,26 Februari 2025,,https://drive.google.com/drive/folders/1mNCviAOsuEW2TGs7iTH3RWA0sWthl66b?usp=sharing
2025,Donor Darah,26 Februari 2025,,https://drive.google.com/drive/folders/1arunfA2FJhn39sHt6DrRhB8FYQWgQwrP?usp=sharing
2025,Donor Darah,26 Februari 2025,,https://drive.google.com/drive/folders/1zZaSqFf-juom5YyBBLRIGy1hQP5dE4Da?usp=sharing
2025,Donor Darah,26 Februari 2025,,https://drive.google.com/drive/folders/1Z8-XEnObtH5-LTH8MuwvK65pIxQzO36G?usp=sharing
2025,Anjangsana / Puncak Acara / Seminar / TMP,2025,Main event,https://drive.google.com/drive/folders/1_l9gCvx3s7MSYB2Tk0rbVr4OMMOh0Xvt?usp=sharing
2025,Anjangsana,Harifin Tumpa,,https://drive.google.com/drive/folders/1xlpM7NLZ38Pbk1-Ab-I5-WUfP9EN5GB3?usp=sharing
2025,Anjangsana,Andi Samsan Nangro,,https://drive.google.com/drive/folders/1swDug5dN2ODma5PVmK8totYk0utzQiqy?usp=sharing
2025,Anjangsana,Bagir Manan,,https://drive.google.com/drive/folders/16juqQeTZph3yCG1hVxEoH05KXgD9Mzoq?usp=sharing
2025,Anjangsana,Hatta Ali,,https://drive.google.com/drive/folders/1uFxxxwvuSCJ6lJJGP5P6zhOK0sEUcuK_?usp=sharing
2025,Anjangsana,Kamil,,https://drive.google.com/drive/folders/18oLt-vI7s4f_n0Msnv3p7mcqAKrOlH-M?usp=sharing
2025,Anjangsana,Syarifuddin,,https://drive.google.com/drive/folders/1pvYLsIK4GtG7imCzsTnUdebnHhzl3Kqv?usp=sharing
2025,HUT Puncak IKAHI Ke 72,23 April 2025,,https://drive.google.com/drive/folders/19sE-DiSGT-bu22Y_IlFwdWLa1lqTlb_X?usp=sharing
2025,Seminar Internasional,21 April 2025,,https://drive.google.com/drive/folders/1G5UYx1WDW8HG7_tHStEpHLzYmMRZg9dW?usp=sharing
2025,Taman Makam Pahlawan Kalibata,22 April 2025,,https://drive.google.com/drive/folders/1KYaF9NgC-SPOFd6nEpRpcieigpxT6Rf-?usp=sharing
2025,Pelantikan Calon Hakim,2025,,https://drive.google.com/drive/folders/19wpo6u4jRKuRVD4fml3-WNKPgBjFPP0-?usp=sharing
2024,Solidaritas Hakim Indonesia MARI,7 Oktober 2025,,https://drive.google.com/drive/folders/1zr3JzCzxxfztJx-OJ4AcM9HXEwJt3ulQ?usp=sharing
2024,Solidaritas Hakim Indonesia DPR,8 Oktober 2025,,https://drive.google.com/drive/folders/164l0OjjBofrcPjZHHjtK4FBE0k1ZtEqp?usp=sharing
2024,Solidaritas Hakim Indonesia DPR,8 Oktober 2025,,https://drive.google.com/drive/folders/1Bbwx7obWx-qmFZkuubp7DfxukAlrMZPc?usp=sharing
2024,MOU IKAHI dan Kimia Farma Diagnostika,12 November 2024,,https://drive.google.com/drive/folders/1FngqsCu-SIaHHpcXE4RCx1zD-xsXZ_F8?usp=sharing
2024,Combined event folder,2024,(Donor Darah; HUT Puncak IKAHI 70; TMP Kalibata; Khitan Masal; Seminar Internasional),https://drive.google.com/drive/folders/1XpnICEOGYeMja6WGf45IDSXZUXRFNQq3?usp=sharing
2023,Donor Darah,6 Maret 2023,,https://drive.google.com/drive/folders/1arunfA2FJhn39sHt6DrRhB8FYQWgQwrP?usp=sharing
2023,Taman Makam Pahlawan,17 Maret 2023,,https://drive.google.com/drive/folders/1pcaGcQ7bTHRh166aoZnLCh6R2wtaLIfc?usp=sharing
2023,Seminar Internasional,20 Mar 2023,,https://drive.google.com/drive/folders/1dUdduRqRJvr4tZJ93tRT84wG1Itc_YLx?usp=sharing
2023,Khitan Masal,8 Maret 2023,,https://drive.google.com/drive/folders/1H9ONTR23rqtfV05btEMuBSGY73yT2k1k?usp=sharing
2023,HUT Puncak IKAHI Ke 70,20 Mar 2023,,https://drive.google.com/drive/folders/14-L4aynwkiUDOGZZv_G9011YaeIZekRs?usp=sharing
2023,Sembako Gratis IKAHI,12 April 2023,,https://drive.google.com/drive/folders/11Wpt2hsVhdZIxf2ZVtaUzmwuJEZkwsZD?usp=sharing
2023,Majelis Kehormatan Hakim,18 Juli 2023,,https://drive.google.com/drive/folders/1ipmVnn0p06-6NsXcyS5U8e2UQ-51jokS?usp=drive_link
2022,Musyawarah Nasional IKAHI Ke 20,15-17 November 2022,,https://drive.google.com/drive/folders/168fLo6vlGCY8I8jGC9xd5h4NEg-jPPOv?usp=sharing
2022,Pelantikan IKAHI,2022,,https://drive.google.com/drive/folders/1Ke3nJtvIGa2bxYN9S7_4VXHroSir1lze?usp=sharing
2019,Donor Darah,20 Februari 2019,,https://drive.google.com/drive/folders/1InhMQub5NKWMrmbH5q4D7Q9pgMNnRlX8?usp=sharing
ETC,ETC,,,https://drive.google.com/drive/folders/1vgMJDFwNF8ERFpw3YzcZVgF1pf_QgE-O?usp=sharing
